priority_rank,customer_id,customer_segment,retention_priority,churn_probability,churn_probability_percent,risk_score,risk_segment,risk_level,churn_prediction,reason,days_since_purchase,customer_value,total_orders,total_revenue,revenue_at_risk,priority_score,recommended_action,needs_immediate_attention,high_value_risk
16,CUST2906,CRITICAL_RETENTION,URGENT,0.8493082729628999,84.93,84.93,CRITICAL,CRITICAL,1,Long time since last purchase,1187,2828.9184,1,1607.34,1365.13,84.03109632643094,Immediate high-value retention intervention,True,True
17,CUST2964,CRITICAL_RETENTION,URGENT,0.8340466163860482,83.4,83.4,CRITICAL,CRITICAL,1,Long time since last purchase,1009,2909.6896,1,1691.68,1410.94,83.78760121373885,Immediate high-value retention intervention,True,True
18,CUST1394,CRITICAL_RETENTION,URGENT,0.8261891935190323,82.62,82.62,CRITICAL,CRITICAL,1,Long time since last purchase,1290,3274.3584,1,1741.6799999999998,1438.96,83.74208892918406,Immediate high-value retention intervention,True,True
19,CUST1217,CRITICAL_RETENTION,URGENT,0.7958532377074609,79.59,79.59,CRITICAL,CRITICAL,1,Long time since last purchase,971,3608.7534,1,1940.19,1544.11,83.51182485220036,Immediate high-value retention intervention,True,True
20,CUST2404,CRITICAL_RETENTION,URGENT,0.7971905287888479,79.72,79.72,CRITICAL,CRITICAL,1,Long time since last purchase,926,3346.7160000000003,1,1923.4,1533.32,83.41115849909264,Immediate high-value retention intervention,True,True
21,CUST1467,CRITICAL_RETENTION,URGENT,0.8140506524044809,81.41,81.41,CRITICAL,CRITICAL,1,Long time since last purchase,1455,3424.864,1,1802.56,1467.38,83.40410047031585,Immediate high-value retention intervention,True,True
22,CUST2920,CRITICAL_RETENTION,URGENT,0.8412530259368849,84.13,84.13,CRITICAL,CRITICAL,1,Long time since last purchase,1410,2956.7328,1,1606.92,1351.83,83.22775910939174,Immediate high-value retention intervention,True,True
23,CUST2019,CRITICAL_RETENTION,URGENT,0.8469168978318706,84.69,84.69,CRITICAL,CRITICAL,1,Long time since last purchase,1580,2679.6912,1,1557.96,1319.46,83.0413999556263,Immediate high-value retention intervention,True,True
24,CUST1060,CRITICAL_RETENTION,URGENT,0.8190954119017195,81.91,81.91,CRITICAL,CRITICAL,1,Long time since last purchase,1539,2993.4612,1,1720.38,1409.16,82.70896754142319,Immediate high-value retention intervention,True,True
25,CUST2408,CRITICAL_RETENTION,URGENT,0.8450795588714198,84.51,84.51,CRITICAL,CRITICAL,1,Long time since last purchase,1695,2637.7232000000004,1,1533.5600000000002,1295.98,82.49002278146824,Immediate high-value retention intervention,True,True
26,CUST2705,CRITICAL_RETENTION,URGENT,0.8283353348046416,82.83,82.83,CRITICAL,CRITICAL,1,Long time since last purchase,1644,2923.6144,1,1642.48,1360.52,82.4799864181156,Immediate high-value retention intervention,True,True
27,CUST1939,CRITICAL_RETENTION,URGENT,0.8130258379875702,81.3,81.3,CRITICAL,CRITICAL,1,Long time since last purchase,1236,3180.2008,1,1728.37,1405.21,82.2129766001687,Immediate high-value retention intervention,True,True
28,CUST1160,CRITICAL_RETENTION,URGENT,0.8484460262613231,84.84,84.84,CRITICAL,CRITICAL,1,Long time since last purchase,1396,2606.0400000000004,1,1447.8000000000002,1228.38,81.50852008938193,Immediate high-value retention intervention,True,True
29,CUST1248,CRITICAL_RETENTION,URGENT,0.7947217377865151,79.47,79.47,CRITICAL,CRITICAL,1,Long time since last purchase,1478,3189.9024,1,1792.08,1424.2,81.2736094266883,Immediate high-value retention intervention,True,True
30,CUST2001,CRITICAL_RETENTION,URGENT,0.8159896600809295,81.6,81.6,CRITICAL,CRITICAL,1,Long time since last purchase,943,3023.5248,1,1643.22,1340.85,81.26162577173835,Immediate high-value retention intervention,True,True
31,CUST2192,CRITICAL_RETENTION,URGENT,0.8397889088189019,83.98,83.98,CRITICAL,CRITICAL,1,Long time since last purchase,1523,2549.3496,1,1482.18,1244.72,81.19672777653761,Immediate high-value retention intervention,True,True
32,CUST1032,CRITICAL_RETENTION,URGENT,0.8190342121445688,81.9,81.9,CRITICAL,CRITICAL,1,Long time since last purchase,1595,2993.7444,1,1609.54,1318.27,81.0681857010483,Immediate high-value retention intervention,True,True
33,CUST1302,CRITICAL_RETENTION,URGENT,0.8311087184657755,83.11,83.11,CRITICAL,CRITICAL,1,Long time since last purchase,833,2798.8240000000005,1,1521.1,1264.2,80.93985686860448,Immediate high-value retention intervention,True,True
34,CUST1916,CRITICAL_RETENTION,URGENT,0.8165241642641342,81.65,81.65,CRITICAL,CRITICAL,1,Long time since last purchase,1203,2841.4674,1,1596.33,1303.44,80.62546438017085,Immediate high-value retention intervention,True,True
35,CUST1531,CRITICAL_RETENTION,URGENT,0.8448339685208421,84.48,84.48,CRITICAL,CRITICAL,1,Long time since last purchase,1234,2518.11,1,1398.95,1181.88,80.41843157216145,Immediate high-value retention intervention,True,True
36,CUST2598,CRITICAL_RETENTION,URGENT,0.8468906235167485,84.69,84.69,CRITICAL,CRITICAL,1,Long time since last purchase,1213,2356.572,1,1370.1,1160.32,80.17420406941598,Immediate high-value retention intervention,True,True
37,CUST2799,CRITICAL_RETENTION,URGENT,0.8067826044986248,80.68,80.68,CRITICAL,CRITICAL,1,Long time since last purchase,1489,2763.724,1,1625.72,1311.6,80.09047809807242,Immediate high-value retention intervention,True,True
38,CUST2569,CRITICAL_RETENTION,URGENT,0.8107688735305064,81.08,81.08,CRITICAL,CRITICAL,1,Long time since last purchase,1124,2739.9006,1,1539.27,1247.99,79.22420249849004,Immediate high-value retention intervention,True,True
39,CUST1957,CRITICAL_RETENTION,URGENT,0.8080364031561296,80.8,80.8,CRITICAL,CRITICAL,1,Long time since last purchase,1503,2833.3032,1,1556.76,1257.92,79.2117217796082,Immediate high-value retention intervention,True,True
40,CUST2511,CRITICAL_RETENTION,URGENT,0.7723981625840243,77.24,77.24,CRITICAL,CRITICAL,1,Long time since last purchase,1322,3347.4048,1,1799.68,1390.07,79.09643972283754,Immediate high-value retention intervention,True,True
41,CUST2031,CRITICAL_RETENTION,URGENT,0.8081732538859427,80.82,80.82,CRITICAL,CRITICAL,1,Long time since last purchase,1770,2735.5752,1,1536.84,1242.03,78.93519778846078,Immediate high-value retention intervention,True,True
42,CUST1030,CRITICAL_RETENTION,URGENT,0.7922554576632239,79.23,79.23,CRITICAL,CRITICAL,1,Long time since last purchase,1797,3121.263,1,1642.77,1301.49,78.89154466591349,Immediate high-value retention intervention,True,True
43,CUST2232,CRITICAL_RETENTION,URGENT,0.8315740319598866,83.16,83.16,CRITICAL,CRITICAL,1,Long time since last purchase,1812,2504.7552,1,1361.28,1132.01,78.59231381961412,Immediate high-value retention intervention,True,True
44,CUST1597,CRITICAL_RETENTION,URGENT,0.8256586302454876,82.57,82.57,CRITICAL,CRITICAL,1,Long time since last purchase,1775,2371.84,1,1395.2,1151.96,78.53744058743344,Immediate high-value retention intervention,True,True
45,CUST1283,CRITICAL_RETENTION,URGENT,0.8229363498580436,82.29,82.29,CRITICAL,CRITICAL,1,Long time since last purchase,1507,2619.903,1,1408.55,1159.15,78.47633876199046,Immediate high-value retention intervention,True,True
46,CUST1872,CRITICAL_RETENTION,URGENT,0.7973107347638583,79.73,79.73,CRITICAL,CRITICAL,1,Long time since last purchase,1377,2773.2672,1,1575.72,1256.34,78.4324766852436,Immediate high-value retention intervention,True,True
47,CUST2573,CRITICAL_RETENTION,URGENT,0.8152900131087434,81.53,81.53,CRITICAL,CRITICAL,1,Long time since last purchase,1072,2653.7952,1,1442.28,1175.88,78.24232314810334,Immediate high-value retention intervention,True,True
48,CUST2479,CRITICAL_RETENTION,URGENT,0.8049290312033955,80.49,80.49,CRITICAL,CRITICAL,1,Long time since last purchase,1725,2765.7224,1,1503.11,1209.9,78.1295932760765,Immediate high-value retention intervention,True,True
49,CUST2830,CRITICAL_RETENTION,URGENT,0.8423317381069261,84.23,84.23,CRITICAL,CRITICAL,1,Long time since last purchase,924,2183.8464,1,1226.88,1033.44,77.5705750146622,Immediate high-value retention intervention,True,True
50,CUST1329,CRITICAL_RETENTION,URGENT,0.7502897796937357,75.03,75.03,CRITICAL,CRITICAL,1,Long time since last purchase,1299,3246.9888,1,1844.88,1384.19,77.44298200621037,Immediate high-value retention intervention,True,True
51,CUST2609,CRITICAL_RETENTION,URGENT,0.751485997382476,75.15,75.15,CRITICAL,CRITICAL,1,Long time since last purchase,1199,3333.2208,1,1831.44,1376.3,77.38465576246946,Immediate high-value retention intervention,True,True
52,CUST2793,CRITICAL_RETENTION,URGENT,0.8495589925562866,84.96,84.96,CRITICAL,CRITICAL,1,Long time since last purchase,1063,2123.2483999999995,1,1166.62,991.11,77.3143202746524,Immediate reactivation campaign,True,True
53,CUST2113,CRITICAL_RETENTION,URGENT,0.8531474601310702,85.31,85.31,CRITICAL,CRITICAL,1,Long time since last purchase,1592,2012.296,1,1143.35,975.45,77.28355067188602,Immediate reactivation campaign,True,True
54,CUST2848,HIGH_RISK_RETENTION,URGENT,0.7369045271428764,73.69,73.69,HIGH,HIGH,1,Long time since last purchase,873,3246.728,1,1909.84,1407.37,76.92337619731616,Priority high-value retention campaign,True,True
55,CUST1292,CRITICAL_RETENTION,URGENT,0.8428437970721017,84.28,84.28,CRITICAL,CRITICAL,1,Long time since last purchase,1453,2128.217,1,1169.35,985.58,76.7446875165898,Immediate reactivation campaign,True,True
56,CUST2754,CRITICAL_RETENTION,URGENT,0.8314436629937924,83.14,83.14,CRITICAL,CRITICAL,1,Long time since last purchase,1318,2190.8952,1,1230.84,1023.37,76.62709681336338,Immediate high-value retention intervention,True,True
57,CUST2207,CRITICAL_RETENTION,URGENT,0.7537794805455975,75.38,75.38,CRITICAL,CRITICAL,1,Long time since last purchase,712,3247.1694,1,1745.79,1315.94,76.45840223906328,Immediate high-value retention intervention,True,True
58,CUST2578,HIGH_RISK_RETENTION,URGENT,0.7200046771895022,72.0,72.0,HIGH,HIGH,1,Long time since last purchase,1713,3635.5824,1,1975.86,1422.63,76.01514693056714,Priority high-value retention campaign,True,True
59,CUST2626,CRITICAL_RETENTION,URGENT,0.805007916779155,80.5,80.5,CRITICAL,CRITICAL,1,Long time since last purchase,1398,2414.748,1,1356.6,1092.07,76.01355577100702,Immediate high-value retention intervention,True,True
60,CUST1293,CRITICAL_RETENTION,URGENT,0.8589737983209214,85.9,85.9,CRITICAL,CRITICAL,1,Long time since last purchase,1057,1888.6128,1,1026.42,881.67,76.00286129352452,Immediate reactivation campaign,True,True
61,CUST2118,CRITICAL_RETENTION,URGENT,0.8562058953582363,85.62,85.62,CRITICAL,CRITICAL,1,Long time since last purchase,1905,1860.264,1,1033.48,884.87,75.86672491024922,Immediate reactivation campaign,True,True
62,CUST1386,CRITICAL_RETENTION,URGENT,0.7749297968073932,77.49,77.49,CRITICAL,CRITICAL,1,Long time since last purchase,1011,2847.2896,1,1547.44,1199.16,75.83627040242828,Immediate high-value retention intervention,True,True
63,CUST1777,CRITICAL_RETENTION,URGENT,0.7849622056546703,78.5,78.5,CRITICAL,CRITICAL,1,Long time since last purchase,903,2622.474,1,1473.3,1156.48,75.77007463013534,Immediate high-value retention intervention,True,True
64,CUST1237,CRITICAL_RETENTION,URGENT,0.8336373060246196,83.36,83.36,CRITICAL,CRITICAL,1,Long time since last purchase,882,2064.168,1,1146.76,955.98,75.56727752022414,Immediate retention intervention,True,True
65,CUST1867,CRITICAL_RETENTION,URGENT,0.7831075226058413,78.31,78.31,CRITICAL,CRITICAL,1,Long time since last purchase,1536,2498.796,1,1469.88,1151.07,75.54283837345187,Immediate high-value retention intervention,True,True
66,CUST1559,CRITICAL_RETENTION,URGENT,0.79785238988471,79.79,79.79,CRITICAL,CRITICAL,1,Long time since last purchase,1591,2519.9168,1,1369.52,1092.67,75.52347204291699,Immediate high-value retention intervention,True,True
67,CUST2744,CRITICAL_RETENTION,URGENT,0.8289056953131794,82.89,82.89,CRITICAL,CRITICAL,1,Long time since last purchase,1421,2075.1240000000003,1,1165.8000000000002,966.34,75.42259923848799,Immediate reactivation campaign,True,True
68,CUST2349,CRITICAL_RETENTION,URGENT,0.8437008462508006,84.37,84.37,CRITICAL,CRITICAL,1,Long time since last purchase,1569,1954.9529999999995,1,1074.15,906.26,75.37650393140665,Immediate reactivation campaign,True,True
69,CUST2441,CRITICAL_RETENTION,URGENT,0.8209583573950171,82.1,82.1,CRITICAL,CRITICAL,1,Long time since last purchase,1701,2208.3864000000003,1,1200.21,985.32,75.20802537223474,Immediate reactivation campaign,True,True
70,CUST2273,HIGH_RISK_RETENTION,URGENT,0.7102089214102341,71.02,71.02,HIGH,HIGH,1,Long time since last purchase,1593,3545.1014000000005,1,1991.63,1414.47,75.18252112453112,Priority high-value retention campaign,True,True
71,CUST1139,CRITICAL_RETENTION,URGENT,0.7931686684487733,79.32,79.32,CRITICAL,CRITICAL,1,Long time since last purchase,873,2557.5372,1,1375.02,1090.62,75.15870076445427,Immediate high-value retention intervention,True,True
72,CUST1947,CRITICAL_RETENTION,URGENT,0.7875071716625006,78.75,78.75,CRITICAL,CRITICAL,1,Long time since last purchase,1265,2568.2202,1,1411.11,1111.26,75.1340245049417,Immediate high-value retention intervention,True,True
73,CUST1587,CRITICAL_RETENTION,URGENT,0.8129564659586481,81.3,81.3,CRITICAL,CRITICAL,1,Long time since last purchase,1215,2188.8944,1,1243.6899999999998,1011.07,75.11152835322031,Immediate high-value retention intervention,True,True
74,CUST1272,HIGH_RISK_RETENTION,URGENT,0.7197583115995659,71.98,71.98,HIGH,HIGH,1,Long time since last purchase,987,3469.648,1,1906.4,1372.15,75.08899593889468,Priority high-value retention campaign,True,True
75,CUST2161,CRITICAL_RETENTION,URGENT,0.8489803022697345,84.9,84.9,CRITICAL,CRITICAL,1,Long time since last purchase,1373,1884.6936,1,1024.29,869.6,75.08599311149158,Immediate reactivation campaign,True,True
76,CUST2055,CRITICAL_RETENTION,URGENT,0.8242197402960334,82.42,82.42,CRITICAL,CRITICAL,1,Long time since last purchase,851,2109.312,1,1171.84,965.85,75.08575981109553,Immediate retention intervention,True,True
77,CUST2969,CRITICAL_RETENTION,URGENT,0.821885763732439,82.19,82.19,CRITICAL,CRITICAL,1,Long time since last purchase,1786,2103.4616,1,1181.72,971.24,75.01942978975865,Immediate reactivation campaign,True,True
78,CUST1164,HIGH_RISK_RETENTION,URGENT,0.7310788916314117,73.11,73.11,HIGH,HIGH,1,Long time since last purchase,1000,3424.56,1,1802.4,1317.7,74.90105026833223,Priority high-value retention campaign,True,True
79,CUST1983,CRITICAL_RETENTION,URGENT,0.8041262728051434,80.41,80.41,CRITICAL,CRITICAL,1,Long time since last purchase,1303,2287.872,1,1271.04,1022.08,74.69165271793753,Immediate high-value retention intervention,True,True
80,CUST2572,CRITICAL_RETENTION,URGENT,0.8170129121752877,81.7,81.7,CRITICAL,CRITICAL,1,Long time since last purchase,1277,2229.1724000000004,1,1185.73,968.76,74.63367714207075,Immediate reactivation campaign,True,True
81,CUST2680,CRITICAL_RETENTION,URGENT,0.8540624748576299,85.41,85.41,CRITICAL,CRITICAL,1,Long time since last purchase,1191,1632.4864,1,949.12,810.61,74.3796150506428,Immediate reactivation campaign,True,True
82,CUST1835,HIGH_RISK_RETENTION,URGENT,0.7432484570554171,74.32,74.32,HIGH,HIGH,1,Long time since last purchase,1019,3102.3384,1,1650.18,1226.49,74.11066030822698,Priority high-value retention campaign,True,True
83,CUST2756,CRITICAL_RETENTION,URGENT,0.7660703267946004,76.61,76.61,CRITICAL,CRITICAL,1,Long time since last purchase,884,2691.0156,1,1478.58,1132.7,74.01947808574339,Immediate high-value retention intervention,True,True
84,CUST2456,HIGH_RISK_RETENTION,URGENT,0.7017463773389622,70.17,70.17,HIGH,HIGH,1,Long time since last purchase,1427,3201.3128,1,1952.02,1369.82,73.7862082905954,Priority high-value retention campaign,True,True
85,CUST1923,HIGH_RISK_RETENTION,URGENT,0.7081027060700509,70.81,70.81,HIGH,HIGH,1,Long time since last purchase,1404,3528.903599999999,1,1897.26,1343.45,73.75635266056838,Priority high-value retention campaign,True,True
86,CUST2009,CRITICAL_RETENTION,URGENT,0.8146596715771215,81.47,81.47,CRITICAL,CRITICAL,1,Long time since last purchase,1470,2118.0564,1,1138.74,927.69,73.72947437322846,Immediate reactivation campaign,True,True
87,CUST2452,HIGH_RISK_RETENTION,URGENT,0.7137702616063795,71.38,71.38,HIGH,HIGH,1,Long time since last purchase,1685,3353.896,1,1842.8,1315.34,73.6469537587969,Priority high-value retention campaign,True,True
88,CUST1469,CRITICAL_RETENTION,URGENT,0.7899676493727152,79.0,79.0,CRITICAL,CRITICAL,1,Long time since last purchase,832,2357.1504,1,1281.06,1012.0,73.51905608171275,Immediate high-value retention intervention,True,True
89,CUST1090,CRITICAL_RETENTION,URGENT,0.8085285780608102,80.85,80.85,CRITICAL,CRITICAL,1,Long time since last purchase,853,1993.136,1,1158.8,936.92,73.46648635413656,Immediate retention intervention,True,True
90,CUST2862,HIGH_RISK_RETENTION,URGENT,0.7319594776030187,73.2,73.2,HIGH,HIGH,1,Long time since last purchase,1748,3000.19,1,1685.5,1233.72,73.4506097585386,Priority high-value retention campaign,True,True
91,CUST2783,CRITICAL_RETENTION,URGENT,0.8348134275431079,83.48,83.48,CRITICAL,CRITICAL,1,Long time since last purchase,1037,1809.808,1,994.4,830.14,73.38382441828873,Immediate reactivation campaign,True,True
92,CUST1447,CRITICAL_RETENTION,URGENT,0.7543698290791775,75.44,75.44,CRITICAL,CRITICAL,1,Long time since last purchase,1136,2899.2768,1,1510.04,1139.13,73.31621705161513,Immediate high-value retention intervention,True,True
93,CUST2499,CRITICAL_RETENTION,URGENT,0.805728284406388,80.57,80.57,CRITICAL,CRITICAL,1,Long time since last purchase,1036,1981.8600000000004,1,1165.8000000000002,939.32,73.31367841641149,Immediate reactivation campaign,True,True
94,CUST2547,CRITICAL_RETENTION,URGENT,0.8239606244992332,82.4,82.4,CRITICAL,CRITICAL,1,Long time since last purchase,1665,1937.7408,1,1053.12,867.73,73.30094583596566,Immediate reactivation campaign,True,True
95,CUST2017,CRITICAL_RETENTION,URGENT,0.7846987173373923,78.47,78.47,CRITICAL,CRITICAL,1,Long time since last purchase,1135,2468.3279999999995,1,1299.12,1019.42,73.28382985015132,Immediate high-value retention intervention,True,True
96,CUST2975,CRITICAL_RETENTION,URGENT,0.8277569387440092,82.78,82.78,CRITICAL,CRITICAL,1,Long time since last purchase,1186,1863.7346,1,1024.03,847.65,73.20514226179316,Immediate reactivation campaign,True,True
97,CUST1161,CRITICAL_RETENTION,URGENT,0.8532859846634059,85.33,85.33,CRITICAL,CRITICAL,1,Long time since last purchase,1213,1630.755,1,876.75,748.12,73.20011219367244,Immediate reactivation campaign,True,True
98,CUST2344,CRITICAL_RETENTION,URGENT,0.844691078114563,84.47,84.47,CRITICAL,CRITICAL,1,Long time since last purchase,1070,1609.152,1,924.8,781.17,73.19354249679182,Immediate reactivation campaign,True,True
99,CUST1462,CRITICAL_RETENTION,URGENT,0.8239008766079261,82.39,82.39,CRITICAL,CRITICAL,1,Long time since last purchase,1750,1875.965,1,1030.75,849.24,72.96384627174831,Immediate reactivation campaign,True,True
100,CUST2800,HIGH_RISK_RETENTION,URGENT,0.7193002369816359,71.93,71.93,HIGH,HIGH,1,Long time since last purchase,1343,3241.7568,1,1742.88,1253.65,72.92330769771834,Priority high-value retention campaign,True,True
101,CUST2786,CRITICAL_RETENTION,URGENT,0.7774038818128026,77.74,77.74,CRITICAL,CRITICAL,1,Long time since last purchase,850,2352.1632,1,1321.44,1027.29,72.91489274023208,Immediate high-value retention intervention,True,True
102,CUST2271,CRITICAL_RETENTION,URGENT,0.8337196685583601,83.37,83.37,CRITICAL,CRITICAL,1,Long time since last purchase,1148,1803.0654,1,969.39,808.2,72.91222593903407,Immediate reactivation campaign,True,True
103,CUST2466,CRITICAL_RETENTION,URGENT,0.7972290013291178,79.72,79.72,CRITICAL,CRITICAL,1,Long time since last purchase,1762,2189.0848,1,1189.72,948.48,72.883656760025,Immediate reactivation campaign,True,True
104,CUST1633,CRITICAL_RETENTION,URGENT,0.7651248310229516,76.51,76.51,CRITICAL,CRITICAL,1,Long time since last purchase,695,2601.9168,1,1398.88,1070.32,72.83012541668216,Immediate high-value retention intervention,True,True
105,CUST1495,CRITICAL_RETENTION,URGENT,0.8127633156019515,81.28,81.28,CRITICAL,CRITICAL,1,Long time since last purchase,1487,1952.208,1,1084.56,881.49,72.7648865568403,Immediate reactivation campaign,True,True
106,CUST1929,CRITICAL_RETENTION,URGENT,0.8014471656099855,80.14,80.14,CRITICAL,CRITICAL,1,Long time since last purchase,1433,2073.456,1,1151.92,923.2,72.72375534919588,Immediate reactivation campaign,True,True
107,CUST1784,HIGH_RISK_RETENTION,URGENT,0.7012502850574273,70.13,70.13,HIGH,HIGH,1,Long time since last purchase,666,3491.7804,1,1857.33,1302.45,72.53846763074151,Priority high-value retention campaign,True,True
108,CUST1758,HIGH_RISK_RETENTION,URGENT,0.7062900795282884,70.63,70.63,HIGH,HIGH,1,Long time since last purchase,1712,3341.1456,1,1815.84,1282.51,72.5322284084499,Priority high-value retention campaign,True,True
109,CUST2129,HIGH_RISK_RETENTION,URGENT,0.6939811268006412,69.4,69.4,HIGH,HIGH,1,Long time since last purchase,1365,3525.9552,1,1916.28,1329.86,72.52315066180633,Priority high-value retention campaign,True,True
110,CUST1389,CRITICAL_RETENTION,URGENT,0.8124317443372189,81.24,81.24,CRITICAL,CRITICAL,1,Long time since last purchase,1713,1925.712,1,1069.84,869.17,72.51985179547535,Immediate reactivation campaign,True,True
111,CUST2307,CRITICAL_RETENTION,URGENT,0.7974634583136284,79.75,79.75,CRITICAL,CRITICAL,1,Long time since last purchase,1471,2114.4578,1,1161.79,926.49,72.5041331357417,Immediate reactivation campaign,True,True
112,CUST1976,CRITICAL_RETENTION,URGENT,0.8196211911292842,81.96,81.96,CRITICAL,CRITICAL,1,Long time since last purchase,881,1960.6272,1,1021.16,836.96,72.44316372571112,Immediate retention intervention,True,True
113,CUST2956,HIGH_RISK_RETENTION,URGENT,0.7150901681728744,71.51,71.51,HIGH,HIGH,1,Long time since last purchase,740,3229.1087999999995,1,1736.08,1241.45,72.4089387391756,Priority high-value retention campaign,True,True
114,CUST2516,HIGH_RISK_RETENTION,URGENT,0.6934893151598683,69.35,69.35,HIGH,HIGH,1,Long time since last purchase,1319,3380.9676000000004,1,1899.42,1317.23,72.26131744428264,Priority high-value retention campaign,True,True
115,CUST1136,CRITICAL_RETENTION,URGENT,0.8699417094000582,86.99,86.99,CRITICAL,CRITICAL,1,Long time since last purchase,1219,1286.6196000000002,1,722.82,628.81,72.21780564871337,Immediate reactivation campaign,True,True
116,CUST2928,CRITICAL_RETENTION,URGENT,0.7709422584327009,77.09,77.09,CRITICAL,CRITICAL,1,Long time since last purchase,1304,2391.6984,1,1314.12,1013.11,72.20726455177582,Immediate high-value retention intervention,True,True
117,CUST1002,CRITICAL_RETENTION,URGENT,0.7867753971969002,78.68,78.68,CRITICAL,CRITICAL,1,Long time since last purchase,974,2150.7384,1,1208.28,950.64,72.1907958270458,Immediate retention intervention,True,True
118,CUST1805,CRITICAL_RETENTION,URGENT,0.7815386920378924,78.15,78.15,CRITICAL,CRITICAL,1,Long time since last purchase,664,2233.764,1,1240.98,969.87,72.17046756831716,Immediate retention intervention,True,True
119,CUST2325,CRITICAL_RETENTION,URGENT,0.759782579681416,75.98,75.98,CRITICAL,CRITICAL,1,Long time since last purchase,1449,2492.154,1,1384.53,1051.94,72.1252311892777,Immediate high-value retention intervention,True,True
120,CUST2175,CRITICAL_RETENTION,URGENT,0.8067346257670049,80.67,80.67,CRITICAL,CRITICAL,1,Long time since last purchase,1430,1979.6724,1,1064.34,858.64,71.93145813371471,Immediate reactivation campaign,True,True
121,CUST2817,CRITICAL_RETENTION,URGENT,0.8286564614470976,82.87,82.87,CRITICAL,CRITICAL,1,Long time since last purchase,1385,1734.9335999999998,1,932.76,772.94,71.92293606055453,Immediate reactivation campaign,True,True
