customer_id,cluster_id,days_since_purchase,purchase_frequency,Ratings
CUST1186,1,1,10,4.4
CUST1188,0,424,34,3.9
CUST1189,0,1016,40,4.2
CUST1192,0,663,29,4.3
CUST1193,2,1036,26,3.7
CUST1195,0,474,46,3.9
CUST1196,0,1085,49,4.0
CUST1197,0,1011,45,4.2
CUST1199,0,985,43,4.1
CUST1202,2,1077,13,4.4
CUST1204,1,775,13,4.4
CUST1206,0,757,26,4.2
CUST1208,0,844,33,3.7
CUST1209,1,450,6,3.6
CUST1210,0,1028,40,4.0
CUST1215,2,934,30,3.8
CUST1216,2,1080,32,4.1
CUST1218,0,283,30,4.4
CUST1219,0,710,38,3.9
CUST1221,0,206,45,3.8
CUST1222,1,556,12,4.1
CUST1223,0,414,32,4.1
CUST1224,1,453,21,4.3
CUST1225,1,668,7,3.7
CUST1226,0,1095,45,4.0
CUST1227,1,196,11,4.2
CUST1228,2,1023,13,4.1
CUST1229,0,327,27,4.3
CUST1230,0,927,38,4.4
CUST1231,0,336,33,4.3
CUST1233,0,671,26,3.5
CUST1236,2,1241,11,3.4
CUST1238,1,1047,3,4.0
CUST1239,1,285,8,4.4
CUST1240,2,826,22,4.0
CUST1241,2,1415,39,4.3
CUST1242,0,278,40,4.0
CUST1243,2,1097,5,4.2
CUST1244,1,620,23,3.8
CUST1245,2,1599,40,4.4
CUST1246,1,632,23,3.9
CUST1247,0,260,39,4.2
CUST1250,0,387,39,3.6
CUST1251,0,484,39,3.7
CUST1254,1,255,24,3.6
CUST1256,0,425,44,4.2
CUST1258,0,232,35,4.2
CUST1259,0,235,48,4.2
CUST1260,1,914,14,4.4
CUST1262,0,801,25,4.4
CUST1267,1,689,12,4.4
CUST1268,1,308,1,4.0
CUST1272,0,987,41,4.1
CUST1273,0,919,49,4.0
CUST1274,2,1389,1,4.2
CUST1275,2,1327,46,3.3
CUST1277,0,569,30,3.8
CUST1280,2,947,14,4.3
CUST1282,0,91,28,3.0
CUST1283,2,1507,28,4.3
CUST1287,1,132,15,4.3
CUST1288,1,522,8,3.8
CUST1290,1,218,7,3.3
CUST1291,0,864,47,4.5
CUST1294,2,1582,29,4.1
CUST1295,1,186,14,4.4
CUST1296,1,93,5,4.2
CUST1300,1,666,25,3.7
CUST1301,1,622,7,4.2
CUST1304,1,855,6,4.3
CUST1305,2,1135,31,4.4
CUST1306,0,954,47,4.2
CUST1308,2,1455,49,3.7
CUST1309,1,408,20,4.3
CUST1312,0,407,49,3.5
CUST1313,0,771,30,4.1
CUST1314,1,281,15,4.3
CUST1317,1,814,6,3.9
CUST1321,1,577,23,4.3
CUST1323,0,476,46,4.2
CUST1324,0,841,29,5.0
CUST1326,0,408,39,3.9
CUST1327,2,1239,15,4.2
CUST1328,0,1196,49,4.3
CUST1329,2,1299,9,3.8
CUST1330,1,857,13,4.3
CUST1331,0,753,27,4.4
CUST1332,1,483,2,4.3
CUST1333,0,292,25,4.3
CUST1334,0,383,47,4.2
CUST1336,1,129,2,3.8
CUST1339,1,789,23,4.3
CUST1340,0,256,27,4.3
CUST1341,2,1288,10,4.0
CUST1342,2,1391,44,4.0
CUST1343,0,862,30,4.4
CUST1344,0,168,37,4.1
CUST1345,2,1183,15,4.0
CUST1346,2,1306,7,3.9
CUST1347,1,676,4,4.1
CUST1349,1,378,8,3.9
CUST1350,0,686,36,4.0
CUST1356,0,35,29,4.3
CUST1357,2,1027,29,3.9
CUST1358,2,1028,26,4.4
CUST1360,0,495,36,4.2
CUST1365,2,1150,21,4.2
CUST1366,1,780,17,4.1
CUST1367,1,503,24,4.0
CUST1369,2,965,22,4.2
CUST1370,1,441,16,4.1
CUST1371,1,171,24,4.1
CUST1372,1,665,7,4.2
CUST1373,0,594,37,4.0
CUST1376,0,524,42,4.1
CUST1377,0,485,34,4.0
CUST1378,0,636,40,4.1
CUST1381,0,133,45,4.0
CUST1383,1,501,18,4.2
CUST1384,0,459,41,3.8
CUST1387,2,1303,22,3.9
CUST1389,2,1713,33,4.0
CUST1391,0,586,29,3.8
CUST1393,2,1694,45,4.2
CUST1394,2,1290,38,4.4
CUST1395,0,861,45,4.2
CUST1396,2,1475,43,4.0
CUST1400,0,481,32,4.1
CUST1403,2,1093,14,3.9
CUST1404,1,811,4,4.3
CUST1406,1,249,19,4.3
CUST1408,0,500,44,3.6
CUST1410,2,1428,1,4.2
CUST1411,1,0,23,4.1
CUST1412,1,153,18,4.1
CUST1413,0,606,29,4.0
CUST1414,0,409,31,4.0
CUST1415,0,397,32,3.5
CUST1416,0,433,32,4.3
CUST1417,1,92,11,4.1
CUST1418,1,123,4,4.1
CUST1421,1,326,11,3.8
CUST1422,0,438,32,4.3
CUST1423,1,291,9,4.0
CUST1425,0,720,49,4.1
CUST1428,0,325,40,4.3
CUST1431,1,720,23,4.5
CUST1436,0,673,37,3.9
CUST1437,1,427,13,4.1
CUST1439,0,589,31,4.0
CUST1440,0,7,36,4.3
CUST1441,2,1027,18,4.0
CUST1442,1,97,10,4.1
CUST1443,1,844,20,4.2
CUST1444,1,68,19,4.0
CUST1445,0,521,49,4.1
CUST1447,2,1136,30,4.6
CUST1448,1,545,4,4.0
CUST1450,0,1094,45,4.3
CUST1451,0,413,32,4.3
CUST1455,0,577,32,4.0
CUST1456,0,399,44,4.1
CUST1457,1,428,2,3.9
CUST1458,0,223,41,3.8
CUST1459,2,1205,16,4.7
CUST1460,1,584,14,4.3
CUST1462,2,1750,10,4.1
CUST1465,2,1255,41,4.0
CUST1467,2,1455,34,4.5
CUST1468,0,828,49,4.6
CUST1470,2,987,36,4.0
CUST1474,0,1042,46,4.2
CUST1478,0,320,27,4.0
CUST1482,2,1007,10,3.8
CUST1484,1,621,2,4.2
CUST1485,2,932,16,4.2
CUST1486,2,1166,4,4.0
CUST1487,0,165,31,3.5
CUST1488,1,683,11,4.3
CUST1489,1,236,11,4.1
CUST1492,0,623,41,3.3
CUST1493,0,139,37,4.0
CUST1495,2,1487,42,4.0
CUST1496,1,768,20,3.9
CUST1498,2,1284,7,4.1
CUST1499,2,1201,33,4.1
CUST1504,0,254,42,4.4
CUST1505,1,305,7,4.2
CUST1506,2,1281,27,3.3
CUST1509,0,518,32,4.1
CUST1514,0,860,33,3.9
CUST1515,1,736,8,3.7
CUST1518,2,1209,15,4.4
CUST1519,2,1296,9,3.9
CUST1520,0,921,36,4.5
CUST1521,0,131,47,4.2
CUST1523,2,1366,5,4.2
CUST1524,2,1219,29,4.1
CUST1528,0,858,30,4.3
CUST1529,1,160,7,3.6
CUST1530,1,566,19,4.1
CUST1532,0,735,45,4.1
CUST1533,0,550,32,4.3
CUST1534,1,755,2,3.9
CUST1536,2,1028,21,4.1
CUST1537,1,454,8,4.4
CUST1538,0,526,46,3.8
CUST1539,0,298,33,4.3
CUST1540,2,1242,29,4.3
CUST1544,1,166,3,4.3
CUST1545,1,401,17,2.8
CUST1546,2,1078,22,3.8
CUST1547,1,62,12,4.5
CUST1549,2,1332,20,4.1
CUST1550,0,239,44,3.0
CUST1551,1,836,9,4.0
CUST1552,2,1088,35,3.9
CUST1553,1,172,5,4.1
CUST1555,1,654,6,4.3
CUST1556,2,1395,35,4.0
CUST1557,0,453,42,4.4
CUST1559,2,1591,41,4.2
CUST1561,0,644,30,4.3
CUST1562,1,485,7,4.3
CUST1564,1,583,2,4.0
CUST1566,2,1272,5,4.1
CUST1568,0,783,36,4.2
CUST1569,0,836,33,4.1
CUST1570,2,911,21,4.0
CUST1571,0,796,29,4.6
CUST1572,0,238,49,3.9
CUST1573,2,972,14,4.0
CUST1574,1,195,5,4.3
CUST1575,1,194,18,4.4
CUST1576,0,967,46,4.1
CUST1578,1,848,18,4.1
CUST1579,1,743,12,4.4
CUST1580,2,966,17,4.5
CUST1581,0,993,48,4.1
CUST1582,2,1485,10,4.2
CUST1584,1,91,17,4.1
CUST1586,0,310,32,4.3
CUST1587,2,1215,28,3.8
CUST1590,0,393,44,3.8
CUST1592,0,444,36,3.5
CUST1593,0,685,35,4.4
CUST1594,1,279,2,4.1
CUST1597,2,1775,8,3.5
CUST1599,0,533,47,4.1
CUST1600,0,307,40,3.9
CUST1601,1,399,9,3.9
CUST1603,0,183,47,4.0
CUST1604,1,185,17,4.2
CUST1605,0,377,31,4.3
CUST1606,2,968,16,4.1
CUST1608,1,691,4,4.2
CUST1610,2,1190,28,4.3
CUST1611,2,1444,32,4.2
CUST1612,2,1003,18,4.5
CUST1616,1,446,11,4.3
CUST1617,0,308,28,3.9
CUST1619,2,1564,33,4.3
CUST1620,0,445,37,4.2
CUST1621,1,862,13,4.2
CUST1625,2,1651,35,4.5
CUST1631,1,527,6,3.9
CUST1632,0,682,42,4.2
CUST1634,2,1195,18,4.2
CUST1635,0,134,40,4.0
CUST1636,2,873,25,4.1
CUST1637,0,146,39,4.5
CUST1639,2,1530,6,4.1
CUST1642,0,62,38,3.9
CUST1643,1,791,10,4.0
CUST1644,0,452,28,4.0
CUST1645,0,133,46,3.5
CUST1646,1,748,13,4.3
CUST1650,0,771,37,4.4
CUST1651,0,1182,49,4.4
CUST1652,0,396,28,4.4
CUST1653,2,1455,20,4.2
CUST1654,1,512,21,4.5
CUST1656,2,928,34,3.8
CUST1657,0,323,47,4.1
CUST1658,2,845,22,4.1
CUST1659,0,322,34,4.4
CUST1660,1,388,18,3.8
CUST1661,2,1220,41,4.2
CUST1663,1,262,10,4.4
CUST1665,0,821,49,4.1
CUST1667,2,898,29,3.6
CUST1670,1,762,14,4.0
CUST1674,1,311,10,4.4
CUST1679,2,1543,6,4.4
CUST1680,1,293,24,3.8
CUST1681,1,691,13,3.8
CUST1682,0,1148,48,4.0
CUST1683,1,511,15,4.4
CUST1684,1,249,24,4.4
CUST1685,1,1048,1,4.5
CUST1687,1,470,14,4.0
CUST1688,0,380,33,4.3
CUST1691,1,670,11,4.3
CUST1692,2,984,19,4.1
CUST1693,0,691,38,4.3
CUST1697,2,1491,14,4.0
CUST1698,1,142,3,4.4
CUST1702,1,153,24,4.1
CUST1703,0,632,32,4.5
CUST1705,1,357,15,4.3
CUST1706,0,897,34,3.9
CUST1708,0,541,26,4.1
CUST1710,2,1359,45,3.8
CUST1711,0,284,47,4.3
CUST1712,2,1048,16,3.9
CUST1715,0,177,46,3.9
CUST1716,1,511,12,3.7
CUST1718,2,1422,12,4.3
CUST1721,2,1303,29,4.3
CUST1722,1,582,4,3.7
CUST1723,1,303,15,4.3
CUST1724,1,314,16,4.3
CUST1727,2,1112,17,4.0
CUST1728,1,357,22,4.5
CUST1730,0,613,30,4.3
CUST1731,1,496,8,4.2
CUST1732,0,713,42,4.1
CUST1733,2,959,21,4.2
CUST1734,0,522,33,4.5
CUST1735,0,4,33,4.2
CUST1737,1,807,5,4.3
CUST1738,1,792,4,4.0
CUST1739,0,503,29,4.5
CUST1740,1,484,22,3.8
CUST1742,2,1075,5,4.0
CUST1743,1,417,1,4.1
CUST1744,1,346,12,3.4
CUST1745,1,909,3,4.0
CUST1746,2,1246,23,3.4
CUST1747,1,485,23,4.3
CUST1748,0,255,31,3.9
CUST1749,1,763,6,4.1
CUST1753,1,128,8,4.1
CUST1754,1,297,19,4.4
CUST1755,2,988,15,4.3
CUST1757,0,376,43,4.3
CUST1758,2,1712,17,4.2
CUST1759,2,1273,8,4.1
CUST1762,2,1062,12,4.4
CUST1763,1,796,5,4.3
CUST1767,1,66,19,4.3
CUST1769,2,1301,24,4.4
CUST1770,0,92,41,4.0
CUST1771,2,973,26,4.3
CUST1772,1,683,19,3.3
CUST1773,2,1048,11,3.7
CUST1774,2,1585,35,4.1
CUST1775,1,413,10,5.0
CUST1777,1,903,14,3.9
CUST1780,1,765,17,3.6
CUST1782,0,536,27,3.6
CUST1783,0,1065,45,4.2
CUST1785,1,513,17,3.8
CUST1786,0,123,27,4.2
CUST1788,1,1045,3,4.4
CUST1791,1,757,5,4.4
CUST1792,0,661,24,4.4
CUST1795,0,643,41,4.3
CUST1796,0,947,39,4.3
CUST1797,2,1186,38,4.2
CUST1799,0,918,36,4.2
CUST1800,0,459,30,3.8
CUST1801,0,419,45,4.3
CUST1802,0,146,38,4.5
CUST1804,2,940,18,4.2
CUST1806,2,1139,8,4.1
CUST1808,0,955,37,4.3
CUST1810,0,594,38,4.5
CUST1811,2,979,29,4.1
CUST1814,1,762,11,4.4
CUST1815,2,1085,13,4.5
CUST1816,0,510,33,3.9
CUST1819,0,208,49,4.4
CUST1821,1,762,8,4.4
CUST1822,0,760,49,4.4
CUST1823,1,295,7,4.3
CUST1829,1,557,24,4.1
CUST1831,1,717,1,4.2
CUST1833,0,591,26,4.3
CUST1835,1,1019,4,4.4
CUST1840,2,1441,36,4.0
CUST1843,0,93,38,4.1
CUST1847,2,1490,1,3.8
CUST1849,0,380,41,4.2
CUST1850,1,620,15,4.1
CUST1853,0,131,47,4.6
CUST1854,0,558,40,4.3
CUST1855,0,187,28,4.0
CUST1857,0,856,36,3.3
CUST1858,1,358,20,4.3
CUST1859,2,1330,34,3.7
CUST1861,1,347,5,4.3
CUST1863,0,558,49,4.2
CUST1864,1,459,4,4.5
CUST1865,1,740,11,4.0
CUST1868,1,802,1,4.5
CUST1869,1,863,4,4.3
CUST1870,2,1192,7,3.3
CUST1873,0,253,43,3.5
CUST1874,0,341,46,4.1
CUST1875,1,828,2,4.5
CUST1880,1,198,14,4.0
CUST1881,2,1012,19,4.1
CUST1882,1,62,10,4.5
CUST1885,2,1295,35,4.2
CUST1886,1,474,19,4.6
CUST1888,2,1202,36,4.3
CUST1889,1,346,1,4.1
CUST1890,2,1088,21,4.5
CUST1891,1,197,5,3.5
CUST1895,2,996,31,4.4
CUST1896,0,388,42,4.2
CUST1897,1,401,17,4.5
CUST1900,1,494,9,3.9
CUST1901,0,359,44,4.0
CUST1902,1,754,2,4.1
CUST1903,0,426,31,4.4
CUST1904,1,36,4,4.4
CUST1905,0,1,46,4.4
CUST1906,0,37,31,3.5
CUST1907,1,321,9,4.5
CUST1908,0,925,42,4.1
CUST1909,0,543,29,4.4
CUST1911,0,613,34,4.2
CUST1917,2,1140,24,4.5
CUST1918,0,970,43,4.1
CUST1919,2,1451,40,4.0
CUST1921,1,378,22,3.4
CUST1923,2,1404,22,4.3
CUST1924,0,125,37,4.3
CUST1926,2,990,30,4.1
CUST1929,2,1433,38,4.0
CUST1930,0,786,37,4.1
CUST1931,0,449,43,4.0
CUST1932,0,208,32,3.8
CUST1933,0,315,45,4.2
CUST1934,1,126,21,4.3
CUST1936,0,814,27,4.1
CUST1938,2,1318,47,4.0
CUST1941,1,527,2,4.3
CUST1942,0,687,35,4.0
CUST1943,0,979,47,4.2
CUST1947,2,1265,37,4.1
CUST1948,2,1616,22,4.3
CUST1950,0,595,48,4.2
CUST1951,0,1033,48,4.5
CUST1952,1,847,9,4.4
CUST1953,0,239,48,4.2
CUST1955,1,97,21,4.3
CUST1956,0,256,37,4.4
CUST1959,2,1219,5,4.0
CUST1961,2,1213,38,4.4
CUST1962,1,136,12,3.9
CUST1964,1,337,5,4.6
CUST1968,0,367,29,4.1
CUST1970,0,264,47,4.5
CUST1971,0,389,36,4.5
CUST1973,0,324,28,4.1
CUST1974,2,1050,14,4.3
CUST1975,1,198,14,3.8
CUST1977,2,1367,8,4.1
CUST1978,1,812,20,4.0
CUST1984,2,1159,7,4.5
CUST1986,0,615,29,4.3
CUST1987,2,959,17,4.1
CUST1989,1,520,2,4.1
CUST1990,2,1136,11,4.1
CUST1993,1,748,3,4.1
CUST1994,2,1722,19,4.4
CUST1995,2,887,21,4.3
CUST1996,0,216,27,4.2
CUST1997,2,785,24,3.6
CUST2001,2,943,22,4.2
CUST2003,0,586,48,4.3
CUST2004,0,303,34,4.2
CUST2006,1,944,5,4.1
CUST2009,2,1470,20,4.3
CUST2010,1,844,2,4.2
CUST2011,1,739,21,4.2
CUST2012,1,67,21,4.4
CUST2014,0,430,48,4.0
CUST2020,0,258,49,4.3
CUST2021,0,249,46,4.1
CUST2022,0,883,39,3.9
CUST2024,2,1182,4,4.0
CUST2025,0,630,41,4.1
CUST2026,0,268,37,3.7
CUST2027,1,218,5,3.9
CUST2028,1,502,2,4.1
CUST2032,2,1606,20,3.8
CUST2035,2,1054,36,4.1
CUST2040,0,708,46,4.0
CUST2044,1,640,1,4.2
CUST2045,0,749,27,3.8
CUST2046,1,632,13,4.2
CUST2047,0,501,35,4.2
CUST2051,1,159,14,4.1
CUST2054,1,595,21,4.2
CUST2056,1,475,9,4.3
CUST2057,0,160,28,4.2
CUST2060,0,264,38,4.1
CUST2061,0,768,34,4.4
CUST2065,0,628,31,3.8
CUST2066,2,1428,20,4.2
CUST2068,0,239,33,3.9
CUST2071,1,457,5,4.0
CUST2074,0,629,36,3.6
CUST2075,0,731,38,4.3
CUST2076,1,232,14,4.0
CUST2078,2,1104,37,4.1
CUST2079,1,371,17,4.0
CUST2081,1,477,5,4.0
CUST2084,2,968,11,4.1
CUST2086,2,1363,25,4.0
CUST2087,0,848,31,3.8
CUST2088,1,515,23,4.0
CUST2089,2,1643,42,3.1
CUST2090,2,1020,15,4.3
CUST2092,0,743,26,4.4
CUST2093,0,673,31,4.1
CUST2094,2,1108,27,4.2
CUST2095,0,874,31,4.1
CUST2096,0,667,33,4.1
CUST2097,1,748,24,4.1
CUST2100,2,1165,45,3.8
CUST2102,0,727,29,4.2
CUST2103,0,178,30,4.1
CUST2104,0,424,27,4.3
CUST2105,0,535,29,3.7
CUST2106,0,862,39,4.2
CUST2107,0,1076,41,4.3
CUST2109,1,372,14,4.4
CUST2110,2,1079,43,3.8
CUST2111,1,827,9,4.5
CUST2112,0,614,44,3.8
CUST2115,0,833,28,4.1
CUST2119,0,612,37,4.6
CUST2122,1,742,8,4.2
CUST2124,1,492,23,4.1
CUST2126,2,1181,25,4.1
CUST2128,0,439,33,4.1
CUST2129,2,1365,30,4.2
CUST2131,0,208,46,4.1
CUST2133,1,563,5,4.0
CUST2135,0,365,29,4.1
CUST2136,0,538,45,4.1
CUST2137,0,950,46,4.1
CUST2139,0,187,42,4.1
CUST2140,2,1118,39,4.1
CUST2143,0,757,49,4.1
CUST2144,0,198,29,3.7
CUST2145,2,1684,18,4.8
CUST2149,1,230,16,3.9
CUST2150,0,627,46,4.1
CUST2151,1,357,17,4.2
CUST2152,1,137,2,4.1
CUST2154,0,5,39,4.3
CUST2155,2,899,32,3.9
CUST2158,1,162,18,4.5
CUST2159,1,135,25,3.8
CUST2160,0,745,49,4.1
CUST2162,2,1698,32,4.1
CUST2163,0,481,29,4.2
CUST2165,2,1327,31,4.0
CUST2167,0,112,27,4.0
CUST2168,2,1103,8,4.0
CUST2169,1,734,15,3.9
CUST2172,2,1177,35,4.2
CUST2173,2,1747,21,4.3
CUST2174,0,741,31,4.2
CUST2175,2,1430,35,4.3
CUST2177,0,5,49,4.4
CUST2179,1,871,16,4.1
CUST2182,0,631,33,4.4
CUST2183,1,778,18,3.6
CUST2189,1,637,9,3.9
CUST2190,0,920,44,4.4
CUST2191,0,683,49,3.7
CUST2194,0,61,40,4.0
CUST2195,1,1035,4,4.2
CUST2197,0,915,41,4.2
CUST2198,1,964,7,3.9
CUST2199,0,769,39,4.0
CUST2200,2,972,20,4.1
CUST2201,0,730,25,4.8
CUST2202,2,1453,36,4.2
CUST2203,1,851,6,4.1
CUST2204,0,705,47,4.0
CUST2205,1,674,12,3.9
CUST2207,1,712,23,4.3
CUST2208,2,1106,27,4.1
CUST2211,2,1143,28,3.7
CUST2212,0,398,36,4.1
CUST2213,1,688,23,4.0
CUST2216,0,890,42,4.6
CUST2217,1,388,5,4.1
CUST2218,0,383,29,3.3
CUST2220,1,310,6,4.3
CUST2221,2,955,15,4.3
CUST2223,1,625,22,4.7
CUST2224,1,882,12,4.4
CUST2225,1,377,13,3.9
CUST2226,0,372,31,4.7
CUST2227,0,1074,48,4.1
CUST2228,0,269,35,3.8
CUST2229,0,654,32,4.4
CUST2232,2,1812,5,4.2
CUST2233,0,741,36,3.7
CUST2234,2,1602,27,4.3
CUST2235,1,623,17,4.3
CUST2237,1,311,7,4.1
CUST2239,0,744,28,4.4
CUST2240,0,550,39,3.8
CUST2241,2,1428,16,4.3
CUST2242,1,158,14,3.8
CUST2243,1,703,10,2.3
CUST2244,1,698,20,4.5
CUST2245,1,814,7,4.0
CUST2247,1,156,8,4.0
CUST2248,1,267,5,4.4
CUST2250,1,946,10,4.4
CUST2252,0,655,39,4.3
CUST2253,1,823,19,4.4
CUST2256,2,1367,39,4.1
CUST2258,1,440,17,3.6
CUST2259,2,1717,39,3.9
CUST2260,1,760,4,3.9
CUST2261,0,285,47,3.8
CUST2264,0,557,38,4.1
CUST2265,2,1157,27,3.8
CUST2266,0,919,49,4.3
CUST2269,1,691,23,3.9
CUST2270,0,851,42,3.5
CUST2271,2,1148,43,4.3
CUST2273,2,1593,31,3.9
CUST2274,1,423,1,4.0
CUST2275,1,275,12,4.7
CUST2277,1,651,18,3.8
CUST2279,1,214,4,4.0
CUST2280,1,454,21,4.1
CUST2281,1,111,4,3.9
CUST2282,0,487,36,3.8
CUST2283,0,848,33,4.1
CUST2284,0,383,28,4.3
CUST2285,0,94,35,3.9
CUST2286,2,1141,34,2.8
CUST2287,0,398,36,4.0
CUST2292,2,1025,39,3.4
CUST2294,0,190,32,4.2
CUST2295,0,567,40,3.9
CUST2296,1,561,10,4.2
CUST2297,0,219,30,4.2
CUST2299,2,1059,13,4.8
CUST2302,2,1115,29,4.3
CUST2304,2,1385,11,4.3
CUST2305,2,1221,13,4.0
CUST2306,1,355,2,4.4
CUST2309,1,457,6,2.0
CUST2310,0,523,47,4.0
CUST2312,1,236,19,3.8
CUST2316,2,1239,8,4.0
CUST2319,2,1198,23,3.6
CUST2320,0,268,43,4.4
CUST2321,2,1350,12,4.2
CUST2323,1,480,20,3.8
CUST2324,1,841,15,4.1
CUST2327,2,937,29,3.6
CUST2328,1,246,13,4.2
CUST2329,2,1037,35,4.1
CUST2330,0,67,44,4.2
CUST2333,2,1092,34,4.2
CUST2334,0,455,43,4.2
CUST2335,1,947,2,4.1
CUST2339,0,200,46,4.1
CUST2342,2,1108,22,4.2
CUST2343,1,294,17,4.2
CUST2346,2,1237,13,3.4
CUST2350,1,492,1,3.9
CUST2352,1,186,20,3.9
CUST2355,1,309,24,4.0
CUST2356,1,93,12,2.6
CUST2359,1,409,26,3.5
CUST2360,1,97,3,3.9
CUST2361,0,868,49,4.0
CUST2367,1,275,17,3.8
CUST2370,1,612,22,4.3
CUST2371,2,1585,9,4.2
CUST2372,0,396,37,4.1
CUST2375,1,321,13,4.3
CUST2376,1,203,3,3.9
CUST2381,1,407,5,4.6
CUST2384,1,699,2,4.1
CUST2386,1,221,18,4.4
CUST2387,1,744,15,4.3
CUST2388,1,439,8,4.7
CUST2391,2,1658,31,3.9
CUST2392,2,1737,47,3.7
CUST2396,1,324,9,3.9
CUST2397,0,286,41,4.4
CUST2398,2,1307,33,4.3
CUST2399,0,978,49,4.5
CUST2400,0,453,35,4.0
CUST2402,0,772,32,4.2
CUST2404,2,926,18,3.7
CUST2405,2,1024,10,4.1
CUST2406,0,877,41,4.2
CUST2408,2,1695,16,3.6
CUST2409,2,1545,25,4.1
CUST2412,0,260,33,4.3
CUST2413,1,125,5,4.0
CUST2414,1,703,13,4.2
CUST2415,0,356,47,4.2
CUST2417,1,354,4,3.8
CUST2418,0,535,39,4.4
CUST2419,1,113,21,4.1
CUST2422,2,1311,19,4.1
CUST2423,0,646,35,4.2
CUST2424,1,779,2,4.1
CUST2426,1,561,13,3.9
CUST2429,0,608,45,3.6
CUST2433,0,582,32,3.9
CUST2434,1,813,10,3.9
CUST2437,1,814,15,4.2
CUST2438,0,500,36,4.5
CUST2444,0,652,49,4.3
CUST2446,0,626,45,3.5
CUST2447,2,1092,6,4.3
CUST2448,1,217,22,3.6
CUST2449,0,322,44,2.9
CUST2450,1,245,14,4.2
CUST2451,0,577,48,4.4
CUST2455,1,441,16,4.1
CUST2456,2,1427,45,3.2
CUST2457,1,596,15,4.4
CUST2459,2,1686,22,3.1
CUST2461,2,963,18,4.1
CUST2463,0,514,27,4.0
CUST2465,0,873,30,4.1
CUST2466,2,1762,9,4.2
CUST2468,1,808,8,4.0
CUST2469,1,924,4,4.2
CUST2470,0,661,34,4.2
CUST2471,1,244,17,4.1
CUST2475,2,1104,24,4.1
